headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id,abstract
Zimbabwe Pressed to Release 2 Activists,World,[u'Zimbabwe'],131,The two women activists were arrested for leading a peaceful protest to demand food for the starving and the immediate formation of a power-sharing government.,The New York Times,"[u'Amnesties, Commutations and Pardons', u'Women']",http://www.nytimes.com/2008/10/23/world/africa/23zimbabweweb.html,Foreign,23/10/2008,News,5.47944E+23,
Zimbabwe: Amnesty Seeks 2 Protesters' Release,World; Health,"[u'BULAWAYO (ZIMBABWE)', u'ZIMBABWE']",89,"Amnesty International has called for the immediate release of Jenni Williams, left, and Magodonga Mahlangu, leaders of Women of Zimbabwe Arise, who were arrested last Thursday for leading a peaceful protest in Bulawayo to demand food for the starving...",The New York Times,"[u'DIET AND NUTRITION', u'BAIL', u'POLITICS AND GOVERNMENT', u'WOMEN', u'DEMONSTRATIONS AND RIOTS', u'FOOD']",http://query.nytimes.com/gst/fullpage.html?res=950DE7DA123BF930A15753C1A96E9C8B63,Foreign Desk,23/10/2008,News,4fd26ba78eb7c8105d8241a9,"Amnesty International calls for immediate release of Jenni Williams and Magodonga Mahlangu, leaders in Women of Zimbabwe Arise who were arrested for leading peaceful protest in Bulawayo; protest was to demand food for starving and formation of power-sharing government; prosecutor says women should be denied bail on grounds that they were likely to commit similar offenses; photo (S)"
Iranian Dissident Seeks Treatment and Asylum,N.Y. / Region,[],792,"Ahmad Batebi, a student activist imprisoned for nine years in Iran, fled that country in March and is now getting treatment at the Bellevue/NYU Program for Survivors of Torture.",The New York Times,[],http://cityroom.blogs.nytimes.com/2008/10/24/iranian-dissident-seeks-treatment-and-asylum/,,24/10/2008,Blog,4fd393078eb7c8105d8c60af,"Ahmad Batebi, a student activist imprisoned for nine years in Iran, fled that country in March and is now getting treatment at the Bellevue/NYU Program for Survivors of Torture."
A World of Sweet Treats on One Island,Travel,[u'New York City'],1020,"Instead of splurging on the usual candy choices this Halloween, these New York bakeries offer international delights.",The New York Times,"[u'Bakeries and Baked Products', u'Desserts', u'Travel and Vacations', u'Restaurants']",http://www.nytimes.com/2008/10/26/travel/26weekend.html,Travel,26/10/2008,News,54791c52798810519966861b,
"A Torchbearer, Then and Now",N.Y. / Region,[u'New York City'],781,"Ahmad Batebi, a symbol of the 1999 student protests in Iran who is now seeking asylum in the United States, maintains a sense of responsibility to those he left behind.",The New York Times,"[u'Freedom and Human Rights', u'Asylum (Political)', u'Torture']",http://www.nytimes.com/2008/10/26/nyregion/thecity/26disp.html,CityWeekly,26/10/2008,News,547953517988105199668aee,
Close Guantánamo,Opinion,[u'Guantanamo Bay Naval Base (Cuba)'],191,To the Editor:.,The New York Times,"[u'Freedom and Human Rights', u'Detainees', u'Torture', u'Presidential Election of 2008']",http://www.nytimes.com/2008/10/28/opinion/l28gitmo.html,Letters,28/10/2008,Letter,547975957988105199668dad,
Iran: American Student Held,World,[u'Iran'],94,"An Iranian-American graduate student from Los Angeles has been detained for nearly two weeks by the Iranian authorities, a Foreign Ministry spokesman said.",The New York Times,[u'Freedom and Human Rights'],http://www.nytimes.com/2008/10/29/world/middleeast/29briefs-AMERICANSTUD_BRF.html,Foreign,29/10/2008,Brief,547982de7988105199668ec2,
Immigration Cools as Campaign Issue,U.S.,[],1021,"Even as the issue has receded from the campaign, the two presidential candidates have continued to refine their positions.",The New York Times,"[u'Presidential Election of 2008', u'Immigration and Refugees', u'Illegal Immigrants', u'Election Issues']",http://www.nytimes.com/2008/10/29/us/politics/29immig.html,National,29/10/2008,News,547980ea7988105199668ea0,
An Autocrat Pledges a Graceful Exit,,[],425,"After losing the Maldives' first contested elections, President Maumoon Abdul Gayoom today promised to step down later this month and yield power to an opposition leader he repeatedly threw in jail.",The New York Times,[],http://thelede.blogs.nytimes.com/2008/10/29/an-autocrat-pledges-a-graceful-exit/,,29/10/2008,Blog,4fd3929c8eb7c8105d8c5414,"After losing the Maldives' first contested elections, President Maumoon Abdul Gayoom today promised to step down later this month and yield power to an opposition leader he repeatedly threw in jail."
Colombia Lists Civilian Killings in Guerrilla Toll,World,[u'Colombia'],1690,Civilians are increasingly becoming victims of Colombia’s long internal war against leftist insurgencies.,The New York Times,[u'Civilian Casualties'],http://www.nytimes.com/2008/10/30/world/americas/30colombia.html,Foreign,30/10/2008,News,547987a67988105199668f36,
Zimbabwe: Justice Urged in Attacks,World,[u'Zimbabwe'],99,"Beatings, rapes and killings of dissidents have escalated in Zimbabwe because the politicians and the police who are responsible for the violence have not been punished, Amnesty International said.",The New York Times,[u'Violence'],http://www.nytimes.com/2008/11/01/world/africa/01briefs-JUSTICEURGED_BRF.html,Foreign,1/11/2008,Brief,5479a5e079881051996691b6,
"Rape Victim Stoned to Death in Somalia Was 13, U.N. Says",World,[u'Somalia'],324,The U.N. said that a Somali stoned to death by Islamist militants after she had been accused of adultery was a 13-year-old girl who had been raped while visiting her grandmother.,The New York Times,"[u'Sex Crimes', u'Islam']",http://www.nytimes.com/2008/11/05/world/africa/05somalia.html,Foreign,5/11/2008,News,5479c2ea798810519966942d,
Jesuit Killings in El Salvador Could Reach Trial in Spain,World,"[u'El Salvador', u'Spain']",638,A criminal complaint filed in the Spanish High Court has revived hopes that those behind the massacre of six Jesuit priests in El Salvador’s civil war could face trial.,The New York Times,"[u'Murders and Attempted Murders', u'Priests', u'Extradition', u'CIVIL WAR and Guerrilla Warfare']",http://www.nytimes.com/2008/11/14/world/americas/14salvador.html,Foreign,14/11/2008,News,5471aac5798810704647788d,
Jesuit Killings In El Salvador Could Reach Trial in Spain,World,"[u'SPAIN', u'EL SALVADOR']",743,A criminal complaint filed in the Spanish High Court has revived hopes that those behind the massacre of six Jesuit priests in El Salvador’s civil war could face trial.,The New York Times,"[u'EXTRADITION', u'JESUITS', u'MURDERS AND ATTEMPTED MURDERS', u'PRIESTS', u'CIVIL WAR AND GUERRILLA WARFARE', u'SUITS AND LITIGATION', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2008/11/14/world/americas/14salvador.html,Foreign Desk,14/11/2008,News,4fd2840d8eb7c8105d85302c,Human rights lawyers file complaint in Spain's High Court against former Salvadoran Pres Alfredo Cristiani Burkard and 14 former members of Salvadoran military for their roles in killings of six Jesuit priests in one of most notorious events of El Salvador's civil war nearly 20 years ago; court must decide whether to press charges against men and seek their extradition to Spain; photo (M)
Sudan: Russian Fighter Jets Purchased,World,"[u'Sudan', u'Russia']",97,"Russia has sold 12 MiG-29 fighter jets to Sudan, the Sudanese defense minister, Abdel Rahim Mohammed Hussein, said during a visit to Moscow.",The New York Times,"[u'Military Aircraft', u'International Relations']",http://www.nytimes.com/2008/11/15/world/africa/15briefs-RUSSIANFIGHT_BRF.html,Foreign,15/11/2008,Brief,547a2b797988101f1558a0bc,
Murder of Transgender Woman Revives Scrutiny,U.S.,[u'Memphis (Tenn)'],607,The killing a week ago has rekindled scrutiny in last February’s videotaped beating of the woman while in police custody in Memphis.,The New York Times,"[u'Transsexuals', u'Hate Crimes']",http://www.nytimes.com/2008/11/18/us/18memphis.html,National,18/11/2008,News,547a38db7988101f1558a1e4,
Iraqi and American Critics of Security Pact Speak Up,World,[u'Iraq'],974,Objections were voiced a day after the Iraqi cabinet approved the pact and sent it to Parliament for ratification.,The New York Times,"[u'Status of Forces Agreements', u'Iraq War (2003- )', u'United States Armament and Defense', u'Politics and Government', u'United States International Relations', u'International Relations']",http://www.nytimes.com/2008/11/18/world/middleeast/18iraq.html,Foreign,18/11/2008,News,547a37eb7988101f1558a1d1,
Report Faults All Parties in War in Georgia,World,"[u'Georgia (Georgian Republic)', u'Moscow (Russia)', u'South Ossetia (Georgian Republic)']",520,"According to a report released by Amnesty International, Russian, Georgian and South Ossetian forces failed to protect civilians during the war in Georgia.",The New York Times,[u'Civilian Casualties'],http://www.nytimes.com/2008/11/18/world/europe/18georgia.html,Foreign,18/11/2008,News,547a3c457988101f1558a22e,
Spanish Judge Drops Probe Into Franco Atrocities,World,[u'Spain'],510,Judge Baltasar Garzón said he was dropping the case after state prosecutors questioned his jurisdiction over crimes committed 70 years ago by people who are now dead.,The New York Times,"[u'Spanish CIVIL WAR (1936-39)', u'War Crimes, Genocide and Crimes Against Humanity', u'Freedom and Human Rights']",http://www.nytimes.com/2008/11/19/world/europe/19spain.html,Foreign,19/11/2008,News,547a40bd7988101f1558a28d,
"Obama, Misha and the Bear",Opinion,"[u'Georgia (Georgian Republic)', u'Russia']",773,"President-elect Barack Obama needs a new approach to Russia if we want to avoid a new cold war, and we also need to get over our crush on Georgia’s president, Mikheil Saakashvili.",The New York Times,"[u'International Relations', u'Politics and Government']",http://www.nytimes.com/2008/11/20/opinion/20kristof.html,Editorial,20/11/2008,Op-Ed,545cefbe79881039320ed6f3,
"In Baghdad, Debating Post-U.S. Outlook",World,[u'Iraq'],952,Some Iraqi lawmakers are worried that the security pact with the U.S. will give too much control to the Shiite-led government of Prime Minister Nuri Kamal al-Maliki.,The New York Times,"[u'Status of Forces Agreements', u'United States Armament and Defense', u'Iraq War (2003- )', u'Politics and Government', u'International Relations']",http://www.nytimes.com/2008/11/21/world/middleeast/21iraq.html,Foreign,21/11/2008,An Analysis; News Analysis,5474e0ad798810593e50db1f,
I.O.C. Issues Glowing Review of Beijing Games,Sports,[u'Beijing (China)'],1250,"The International Olympic Committee praised Chinese organizers for their nearly flawless execution of the Games, but watchdog groups criticized the report for ignoring human-rights violations.",The New York Times,"[u'Olympic Games (2008)', u'Olympic Games', u'Freedom and Human Rights']",http://www.nytimes.com/2008/11/27/sports/olympics/27olympics.html,Sports,27/11/2008,News,547a8e4a7988101f1558a91d,
Effort Made to Save Man China Convicted of Spying,World,[u'China'],789,"His family and the U.S. try to save a Chinese man, Wo Weihan, from execution for spying.",The New York Times,"[u'CAPITAL PUNISHMENT', u'Espionage', u'United States International Relations']",http://www.nytimes.com/2008/11/27/world/asia/27china.html,Foreign,27/11/2008,News,547a8f857988101f1558a936,
Iraq Backs Deal That Sets End of U.S. Role,World,[u'Iraq'],1166,The Iraqi Parliament ratified an agreement that sets out a three-year timetable for withdrawal of U.S. forces from Iraq.,The New York Times,"[u'Status of Forces Agreements', u'Iraq War (2003- )']",http://www.nytimes.com/2008/11/28/world/middleeast/28iraq.html,Foreign,28/11/2008,News,547a96ab7988101f1558a9db,
Assessment Praising ’08 Games Is Criticized,Sports,[],1101,"The 2008 Olympics were an “indisputable success,” according to a report by the International Olympic Committee that activists said ignored human-rights violations.",The New York Times,"[u'Olympic Games (2008)', u'Freedom and Human Rights']",http://www.nytimes.com/2008/11/28/sports/olympics/28olympics.html,Sports,28/11/2008,News,547a9a3b7988101f1558aa29,
Zimbabwe Police Break Up Protest,World,[u'Zimbabwe'],828,Demonstrators were calling for better pay and working conditions in a nation suffering from a cholera epidemic.,The New York Times,"[u'Cholera', u'Demonstrations and Riots', u'Medicine and Health', u'Politics and Government', u'Economic Conditions and Trends']",http://www.nytimes.com/2008/12/04/world/africa/04zimbabwe.html,Foreign,4/12/2008,News,547ac6237988101f1558ade0,
Zimbabwe Declares Cholera Emergency,World,[u'Zimbabwe'],1005,The nation’s health minister appealed for outside help a day after police attacked protesting medical workers.,The New York Times,"[u'Cholera', u'Epidemics', u'Politics and Government']",http://www.nytimes.com/2008/12/05/world/africa/05zimbabwe.html,Foreign,5/12/2008,News,547aced27988101f1558ae98,
The Year of Living Nervously,N.Y. / Region,"[u'Cameroon', u'New York City']",2362,"An activist from Cameroon came to the United States in search of political asylum, but his wait in New York seemed endless.",The New York Times,"[u'Immigration and Refugees', u'Asylum (Political)']",http://www.nytimes.com/2008/12/07/nyregion/thecity/07asyl.html,CityWeekly,7/12/2008,News,53f5a1047988107411a38be3,
Why Not Bring Cash Back Home?,Business Day,[],681,"The idea of giving companies incentives to repatriate cash held by foreign subsidiaries hasn’t been widely discussed, but it should be.",The New York Times,"[u'Subprime Mortgage Crisis', u'Taxation', u'United States International Relations']",http://www.nytimes.com/2008/12/09/business/09views.html,Business,9/12/2008,News,547af6277988101f1558b1c4,
Reprieve for Tax Shelter Is in Proposed Bailout for Detroit,Business Day,[],251,A little-noticed provision in the proposed bailout plan for Detroit’s automakers blesses an aggressive tax shelter sold by large banks and insurers to municipal transit agencies across the country.,The New York Times,"[u'Subprime Mortgage Crisis', u'Automobiles', u'Tax Shelters', u'Taxation']",http://www.nytimes.com/2008/12/11/business/11tax.html,Business,11/12/2008,News,547b06f77988101f1558b32d,
Reprieve for Tax Shelter Is in Proposed Bailout for Detroit,Business Day,[],262,"A little-noticed provision in the proposed bailout plan for Detroit's automakers blesses an aggressive tax shelter sold by large banks and insurers to municipal transit agencies across the country, The New York Times's Lynnley Browning reported. The...",The New York Times,[],http://dealbook.nytimes.com/2008/12/11/reprieve-for-tax-shelter-is-in-proposed-bailout-for-detroit/,,11/12/2008,Blog,4fd393168eb7c8105d8c6326,"A little-noticed provision in the proposed bailout plan for Detroit's automakers blesses an aggressive tax shelter sold by large banks and insurers to municipal transit agencies across the country, The New York Times's Lynnley Browning reported. The provision asks the government to help the agencies by guaranteeing the economics of the complex shelter, despite years [...]"
When to Intervene,Books,[],1383,Two books discuss the humanitarian “responsibility to protect.”,The New York Times,"[u'Books and Literature', u'War Crimes, Genocide and Crimes Against Humanity', u'International Relations', u'Freedom and Human Rights', u'Foreign Aid']",http://www.nytimes.com/2008/12/14/books/review/Malcomson-t.html,BookReview,14/12/2008,Review,547acf1d7988101f1558aea0,
Seeking the Truth About Torture,Opinion,[],806,To the Editor:.,The New York Times,"[u'Torture', u'Extraordinary Rendition', u'Freedom and Human Rights', u'Terrorism']",http://www.nytimes.com/2008/12/20/opinion/l20torture.html,Letters,20/12/2008,Letter,5475a96b798810593e50e896,
Deferring the Darfur Case,Opinion,[u'Darfur (Sudan)'],137,To the Editor:.,The New York Times,"[u'War Crimes, Genocide and Crimes Against Humanity']",http://www.nytimes.com/2008/12/22/opinion/lweb22darfur.html,Letters,22/12/2008,Letter,5483b82a7988106fd483ce69,
"In Salisbury, England, a Spire and Inspiration",Travel,[u'London (England)'],1238,This charming village in Wiltshire is the site of one of Europe’s most celebrated medieval cathedrals.,The New York Times,"[u'Travel and Vacations', u'Historic Buildings and Sites', u'Christians and Christianity']",http://www.nytimes.com/2008/12/28/travel/28dayout.html,Travel,28/12/2008,News,5436dead79881057847f98ae,
Mitt Romney in the Amnesty Hotel,Opinion,[],324,"Mitt Romney, former Massachusetts governor and Republican presidential candidate, has joined the board of Marriott International, the giant hotel chain. Is this worth noting? Maybe not. Except in this respect: Mr. Romney distinguished himself in the...",The New York Times,[],http://theboard.blogs.nytimes.com/2009/01/08/mitt-romney-in-the-amnesty-hotel/,,8/1/2009,Blog,4fd3937c8eb7c8105d8c71cb,"Mitt Romney, former Massachusetts governor and Republican presidential candidate, has joined the board of Marriott International, the giant hotel chain. Is this worth noting? Maybe not. Except in this respect: Mr. Romney distinguished himself in the Republican primaries for the vapidity and hypocrisy of his stance on immigration. He proudly professed a rigid hostility to [...]"
China: Group’s Web Site Blocked,World,[u'China'],98,Amnesty International said Monday that its Web site had again been blocked in China and urged Beijing to reopen access to it.,The New York Times,"[u'Computers and the Internet', u'Freedom and Human Rights', u'Freedom of Speech and Expression']",http://www.nytimes.com/2009/01/13/world/asia/13briefs-GROUPSWEBSIT_BRF.html,Foreign,13/1/2009,Brief,54719ffd79881070464777a4,
"Egypt Cites Progress Toward Truce as Gaza Toll Exceeds 1,000",World,"[u'Israel', u'Gaza Strip', u'Egypt', u'Syria']",798,"As the Gaza death toll passed an estimated 1,000 people and concerns about the humanitarian situation inside Gaza grew, Egypt announced that it was making progress toward an interim cease-fire.",The New York Times,"[u'Palestinians', u'Armament, Defense and Military Forces']",http://www.nytimes.com/2009/01/15/world/middleeast/15mideast.html,Foreign,15/1/2009,News,5471af0f79881070464778e9,
"Senate Confirmation Hearings: Eric Holder, Day One",U.S.,[],66218,"The following is a transcript of the first day of Senate confirmation hearings nominating Eric Holder as Attorney General, as provided by CQ Transcriptions.",The New York Times,[],http://www.nytimes.com/2009/01/16/us/politics/16text-holder.html,National,16/1/2009,Text,5471c8ae7988107046477b3c,
"Thailand Accused of Returning Migrants to Sea, Where Many Are Missing",World,"[u'Thailand', u'Bangladesh', u'Myanmar']",758,"Thai authorities have detained as many as 1,000 boat people from Bangladesh and Myanmar and sent them back out to sea in boats without engines, human rights groups say.",The New York Times,"[u'Immigration and Refugees', u'Freedom and Human Rights', u'Deportation']",http://www.nytimes.com/2009/01/17/world/asia/17thai.html,Foreign,17/1/2009,News,5471c8cd7988107046477b3f,
Thailand Is Accused of Rejecting Migrants,World,[u'Thailand'],795,"Human rights groups have accused Thai authorities of detaining as many as 1,000 boat people from Bangladesh and Myanmar and sending them back out to sea in boats without engines.",The New York Times,"[u'Immigration and Refugees', u'Freedom and Human Rights', u'Torture']",http://www.nytimes.com/2009/01/18/world/asia/18thailand.html,Foreign,18/1/2009,News,5471d5bf7988107046477c50,
"Shigeo Fukuda, Graphic Designer, Dies at 76",Arts,[],670,Mr. Fukuda was an influential Japanese graphic designer who was known for acerbic antiwar and environmental advocacy posters.,The New York Times,"[u'Art', u'Design', u'Deaths (Obituaries)']",http://www.nytimes.com/2009/01/20/arts/design/20fukuda.html,Culture,20/1/2009,Obituary,5471e38f7988107046477d7d,
Few Protesters at Inauguration,U.S.,[],558,"Protesters, a fixture of every inauguration since President Nixon’s in 1973, were few and scattered as Barack Obama assumed the presidency.",The New York Times,"[u'Demonstrations and Riots', u'Presidents and Presidency (US)']",http://www.nytimes.com/2009/01/21/us/politics/21web-protests.html,National,21/1/2009,News,5471ebdd7988107046477e37,
More Gratitude Than Dissent,U.S.,[],296,"Protesters, a fixture of every inauguration since President Richard M. Nixon's in 1973, were few and scattered in Washington on Tuesday as Barack Obama assumed the presidency. It appeared that there were far more vendors looking to make a buck...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9B0CE5D71530F932A15752C0A96F9C8B63,National Desk,21/1/2009,News,4fd26e1c8eb7c8105d827e7e,
Outcry Erupts Over Reports That Israel Used Phosphorus Arms on Gazans,World,"[u'Israel', u'Gaza Strip']",1072,Militaries use white phosphorus widely to obscure the battlefield but it is also limited under an international convention that bans targeting civilians with it.,The New York Times,"[u'War Crimes, Genocide and Crimes Against Humanity', u'Armament, Defense and Military Forces', u'Civilian Casualties', u'Freedom and Human Rights', u'Palestinians']",http://www.nytimes.com/2009/01/22/world/middleeast/22phosphorus.html,Foreign,22/1/2009,News,5471f7f07988107046477f4f,
"INSIDE THE TIMES: January 22, 2009",New York and Region,[],2331,"International     WHILE MIDEAST IS IN CONSTANT FLUX,",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9F01E1DB1630F931A15752C0A96F9C8B63,Metropolitan Desk,22/1/2009,Summary,4fd2b4b78eb7c8105d8a74ff,
Obama Reverses Key Bush Security Policies,U.S.,[u'Guantanamo Bay Naval Base (Cuba)'],1369,President Obama postponed for months critical choices the United States has been grappling with since the terrorist attacks of 2001.,The New York Times,"[u'Detainees', u'Torture', u'Executive Orders', u'Interrogations', u'Military Commissions Act', u'Shutdowns (Institutional)']",http://www.nytimes.com/2009/01/23/us/politics/23obama.html,National,23/1/2009,News,53f599517988107411a38b88,
The Bullets in My In-Box,Week in Review,"[u'Gaza Strip', u'Israel']",1573,"In this Middle East tragedy, reporters play the despised chorus, infuriating partisans on both sides.",The New York Times,"[u'Palestinians', u'Jews', u'Zionism', u'Newspapers', u'News and News Media']",http://www.nytimes.com/2009/01/25/weekinreview/25bronner.html,WeekInReview,25/1/2009,News,54720ee9798810704647814c,
Afghan Prison Poses Problem in Overhaul of Detainee Policy,Washington,"[u'Guantanamo Bay Naval Base (Cuba)', u'Afghanistan']",1273,"While debate over the fate of Guantánamo detainees rages on, a similar problem concerns prisoners held at an air base in Afghanistan.",The New York Times,"[u'Bagram Air Base (Afghanistan)', u'Detainees', u'Afghanistan War (2001- )', u'Terrorism']",http://www.nytimes.com/2009/01/27/washington/27bagram.html,Foreign,27/1/2009,News,5472233d7988103bd4a4b07b,
U.N. Leads Evacuation From Sri Lanka,World,[u'Sri Lanka'],725,"Amid mounting criticism of Sri Lanka’s government and rebels, a convoy took hundreds of civilians to safety.",The New York Times,"[u'Civilian Casualties', u'CIVIL WAR and Guerrilla Warfare', u'Armament, Defense and Military Forces', u'Freedom and Human Rights']",http://www.nytimes.com/2009/01/30/world/asia/30lanka.html,Foreign,30/1/2009,News,54723ced7988103bd4a4b2be,
"In Shattered Gaza Town, Roots of Seething Split",World,"[u'Gaza Strip', u'Israel']",1804,"The fighting in El Atatra tells the story of Israel’s offensive, with each side giving a very different version.",The New York Times,"[u'Civilian Casualties', u'Armament, Defense and Military Forces', u'Bombs and Explosives', u'Palestinians', u'War Crimes, Genocide and Crimes Against Humanity']",http://www.nytimes.com/2009/02/04/world/middleeast/04gaza.html,Foreign,4/2/2009,News,547270b07988103bd4a4b71b,
Chinese Learn Limits of Online Freedom as the Filter Tightens,World,[u'China'],1241,"The recent censoring of a tongue-in-cheek variety show has provoked howls from China’s so-called netizens, critical of their government’s control of the Web.",The New York Times,"[u'Censorship', u'Computers and the Internet', u'Politics and Government', u'Blogs and Blogging (Internet)', u'Freedom and Human Rights', u'Freedom of Speech and Expression']",http://www.nytimes.com/2009/02/05/world/asia/05beijing.html,Foreign,5/2/2009,News,540270cb79881025dec007ad,
Forgiving and Forgetting in Washington,Business Day,[],837,Timothy F. Geithner got a pass on his tax problems while Tom Daschle and Nancy Killefer didn’t. What made him unstoppable?,The New York Times,"[u'Tax Evasion', u'Taxation', u'United States Politics and Government', u'United States Economy']",http://www.nytimes.com/2009/02/08/business/yourtaxes/08essay.html,SundayBusiness,8/2/2009,News,54728d2e7988103bd4a4b96e,
"Van Spirits Away Protester in Egypt, Signaling Crackdown on Criticism Over Gaza",World,"[u'Egypt', u'Gaza Strip']",1201,"Reflecting a heightened sensitivity to criticism of its Gaza policy, Egyptian authorities have detained a student protester for his participation in a protest walk.",The New York Times,"[u'Freedom and Human Rights', u'Demonstrations and Riots', u'Palestinians', u'Colleges and Universities']",http://www.nytimes.com/2009/02/10/world/middleeast/10egypt.html,Foreign,10/2/2009,News,5472a2b17988103bd4a4bb42,
The Dissonant Undertones of M.I.A.,World,[u'Sri Lanka'],753,Critics say the rapper M.I.A. is an apologist for the Tamil Tiger rebels fighting in Sri Lanka’s civil war.,The New York Times,"[u'Rap Music', u'Music', u'Grammy Awards']",http://www.nytimes.com/2009/02/11/world/asia/11mia.html,Foreign,11/2/2009,News,5474c8bc798810593e50d733,
U.N. Chief Says Israel Is Blocking Most Gaza Aid,World,"[u'Gaza Strip', u'Israel']",227,Ban Ki-moon repeated Tuesday his demand that Israel allow significantly more humanitarian aid into the beleaguered Gaza Strip.,The New York Times,"[u'Foreign Aid', u'Armament, Defense and Military Forces']",http://www.nytimes.com/2009/02/11/world/middleeast/11nations.html,Foreign,11/2/2009,News,5474c961798810593e50d73f,
Talking About a Revolution,U.S.,[],2814,"In this lesson, students read an article exploring United States-Iran relations on the anniversary of the 30th anniversary of the Islamic Revolution of 1979, research the events of that period and write historical fiction based on photographs of...",The New York Times,[],http://learning.blogs.nytimes.com/2009/02/13/talkin-bout-a-revolution/,,13/2/2009,Blog,4fd3946d8eb7c8105d8c981c,"In this lesson, students read an article exploring United States-Iran relations on the anniversary of the 30th anniversary of the Islamic Revolution of 1979, research the events of that period and write historical fiction based on photographs of Iran, then and now. (Click here for a companion lesson for Grades 3-5.)"
U.S. and Belarus in Dispute Over Inmate,World,"[u'United States', u'Belarus']",913,"For 11 months, American officials have been pressing for the release of Emanuel E. Zeltser, a Russian émigré lawyer, on humanitarian grounds.",The New York Times,[u'Prisons and Prisoners'],http://www.nytimes.com/2009/02/15/world/europe/15zeltser.html,Foreign,15/2/2009,News,5471135d7988107046476bb4,
"Jack Cover, 88, Physicist Who Invented the Taser Stun Gun, Dies",U.S.,[],631,"Mr. Cover invented the Taser stun gun, the police weapon that subdues its targets with jolts of electricity.",The New York Times,"[u'Stun Guns', u'Science and Technology', u'Deaths (Obituaries)', u'Inventions and Patents']",http://www.nytimes.com/2009/02/16/us/16cover.html,National,16/2/2009,Obituary,54711a807988107046476c58,
Russia Reopens Case of Murdered Journalist,World,[u'Russia'],1093,"A day after three suspects were acquitted in the 2006 murder a Kremlin critic, the judge reopened the case.",The New York Times,"[u'Murders and Attempted Murders', u'Freedom and Human Rights']",http://www.nytimes.com/2009/02/20/world/europe/20russia.html,Foreign,20/2/2009,News,54713bee7988107046476f3a,
Clinton Reshapes Diplomacy by Tossing the Script,World,"[u'South Korea', u'North Korea']",1025,"Hillary Rodham Clinton offers a new take on the job of secretary of state, from weighty themes to lighter ones.",The New York Times,[u'United States International Relations'],http://www.nytimes.com/2009/02/21/world/asia/21diplo.html,Foreign,21/2/2009,News,547146a87988107046477011,
Russia Reopens Case of Murdered Journalist,World,[u'Russia'],1093,"A day after three suspects were acquitted in the 2006 murder of a Kremlin critic, the judge reopened the case.",The New York Times,"[u'Murders and Attempted Murders', u'Decisions and Verdicts', u'Freedom and Human Rights', u'News and News Media']",http://www.nytimes.com/2009/02/21/world/europe/21russia.html,Foreign,21/2/2009,News,5471490f7988107046477041,
Myanmar Releases 19 in Amnesty,World,[u'Myanmar'],299,"Nineteen political prisoners in Myanmar have been freed by the military government as part of a general amnesty, an exile group said Sunday.",The New York Times,"[u'Amnesties, Commutations and Pardons', u'Freedom and Human Rights']",http://www.nytimes.com/2009/02/23/world/asia/23burma.html,Foreign,23/2/2009,News,547159a579881070464771aa,
Tamil Rebels Offer Conditional Truce,World,[u'Sri Lanka'],559,"Ethnic Tamil separatists announced that they were willing to accept a cease-fire, although they said they would not surrender their weapons.",The New York Times,"[u'CIVIL WAR and Guerrilla Warfare', u'Armament, Defense and Military Forces']",http://www.nytimes.com/2009/02/24/world/asia/24lanka.html,Foreign,24/2/2009,News,54715c937988107046477200,
Netanyahu Rebuffed Again in Efforts to Form Coalition,World,[u'Israel'],589,"Ehud Barak, the leader of Israel’s center-left Labor Party, turned down a proposal by the prime minister-designate, Benjamin Netanyahu of the conservative Likud Party, to join a coalition.",The New York Times,[u'Politics and Government'],http://www.nytimes.com/2009/02/24/world/middleeast/24mideast.html,Foreign,24/2/2009,News,54715e7b7988107046477228,
Administration Draws Fire for Report on Guantánamo,U.S.,[u'Guantanamo Bay Naval Base (Cuba)'],824,Detainees’ lawyers and human rights groups ridiculed the Pentagon report on the Guantánamo Bay prison as a public relations gesture intended to quiet criticism.,The New York Times,"[u'Detainees', u'Freedom and Human Rights', u'Geneva Conventions']",http://www.nytimes.com/2009/02/24/us/24detainees.html,National,24/2/2009,News,5471646379881070464772a8,
Administration Draws Fire For Report on Guantánamo,U.S.,[],721,The Pentagon official who inspected the Guantánamo Bay prison at the behest of President Obama and declared its conditions humane described himself Monday as a ''fresh set of eyes'' who had been given free rein to go about his work.     But...,The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9C0CE1DC1039F937A15751C0A96F9C8B63,National Desk,24/2/2009,News,4fd26d488eb7c8105d8264ff,
Pakistan Court Bars President’s Rival From Office,World,[u'Pakistan'],903,"The Supreme Court ruled against allowing the opposition leader, Nawaz Sharif, to hold elected office.",The New York Times,"[u'Decisions and Verdicts', u'Courts']",http://www.nytimes.com/2009/02/26/world/asia/26pstan.html,Foreign,26/2/2009,News,54716f6879881070464773a1,
